,content,id,lat,location,lon,time,user,user_id
1068,@VerizonSupport The Fios line detached from our house due to storm Quinn. We have no phone and internet service.,971554304359325696,,"Boston, MA",,2018-03-08 01:12:51,officialmomdad,3707305037
1069,Here comes the flip to snow. Likely to get nasty real fast. Going to stick to everything. Trees already weak from l… https://t.co/LOTjq9JhXL,971554019767406592,,"Boston, MA",,2018-03-08 01:11:43,RealJayKenney,410853815
107,#HarvardSailingClub on #memorialDrive sprung a leak during the overnight storm and is now listing to one side. It's… https://t.co/zKICXtTuor,971779210254700544,,"Boston, MA",,2018-03-08 16:06:33,KimWBZ,534392656
1070,@BCHighMessages Yo my car just got blown away in this storm can y’all just cancel one Time for the culture,971553856579661824,,"Boston, MA",,2018-03-08 01:11:04,realjma,2543677835
1073,"PLEASE SHARE! For homeowners with major storm damage who need assistance/direction on insurance claims,cleanup, ass… https://t.co/fbVBuCnV0e",971553189521711104,,"Boston, MA",,2018-03-08 01:08:25,Boston_CP,70291924
1075,"@atwin24hours We're in a confused storm near Boston. This one is really confounding the forecasters, I tell you whut. #foodtravelchat",971552800097349632,,"Boston, MA",,2018-03-08 01:06:52,SGSwritereditor,256289671
1079,Wondering where I am at #AWP18? Room 34 of the Tampa Convention Center! (Note: I'm updating the schedule as cancela… https://t.co/RUq3KYtBLg,971552574632550400,,"Boston, MA",,2018-03-08 01:05:59,adriannelacy,28715447
1080,RT @MidasJord: We bout to get fucked on by this storm smh,971552545398116352,,,,2018-03-08 01:05:52,lbojo_,817219153601839104
1084,Really out in this storm getting chipotle like it’s nothing 😭😭😭,971552078345785344,,"Boston, MA",,2018-03-08 01:04:00,xoEmilaaay,540301468
1086,RT @MistressCarrie: Riding out the storm with Buckcherry tonight! What about you? https://t.co/RVsHXK8LBI,971551872153726976,,"Worcester, MA",,2018-03-08 01:03:11,MikeHsuAAF,19614512
1089,Cat knows how to deal with the impending storm. https://t.co/GRzwhRIkz0,971551391159382016,,"Boston, MA",,2018-03-08 01:01:16,sandypsj,58099152
1097,@jreineron7 @jrdicker What he said. Storm doesn't wrap until 8am there.,971549925963194368,,"Boston, MA",,2018-03-08 00:55:27,PeteNBCBoston,28098358
1098,RT @JP_CentreSouth: We could all use a little Tropical Fiesta after the storm! https://t.co/vKGmeUaLfY,971549236939644928,,"Boston, MA",,2018-03-08 00:52:43,JPLocalFirst,1158373638
11,Stay prepared and safe as the snow continues here in Boston with some some safety tips from the @CityOfBoston. For… https://t.co/mJfpa2XbEr,971805310682845184,,"Boston, MA",,2018-03-08 17:50:15,BHA_Boston,791729768467234816
110,RT @goTrueMotion: Game changer. @BostInno Tech Madness postponed to next Tuesday due to the storm. https://t.co/Z3UWH0C78H #TechMadnessBOS…,971778482744299520,,"Boston, MA",,2018-03-08 16:03:39,BostInno,16877220
1101,@ericfisher is the storm going to hit fast and furious? Still a mix and not sticking in #Tewksbury,971548911063224320,,"Boston, MA",,2018-03-08 00:51:25,AlisonReynolds,19318256
1107,"7x5"" oil on panel.  Winter nights often have a silent beauty to them. Here is Somerville the evening of a morning s… https://t.co/TedDwxM1Yb",971547309199765504,,"Boston, MA",,2018-03-08 00:45:03,paulwilliamart,19507111
111,Via @Code4HR and @codeforamerica: residents in Fairmount Park neighborhood are the first to pilot an adopt-a-drain… https://t.co/iWdAJU6HIT,971777912327294976,,"Boston, MA",,2018-03-08 16:01:23,EngageLab,162118003
1110,@NBCNewYork Storm is a bust,971547215536754688,,"Boston, MA",,2018-03-08 00:44:41,TallirisCynthia,1160836885
1112,No winter storm could keep @TheAHL staff away from the @AceBaileyFdtn’s annual #FaceOffForAce benefit. https://t.co/HQo669zu2S,971546899277852672,,860/413,,2018-03-08 00:43:25,JChaimo,208615402
1114,"During a winter storm like this, it’s a busy day &amp; night here at Eversource. We appreciate our 8,000+ employees who… https://t.co/kmtzPqMHJP",971546758097534976,,"Boston, MA",,2018-03-08 00:42:52,EversourceMA,56795612
1118,@__fc @pcon We are keeping our eye on next Tuesday. They are taking about another storm that we hope won’t happen.,971545698352226304,,"Boston, MA",,2018-03-08 00:38:39,mtkr,8186902
112,"For those wanting a big storm next week, definitely not a good trend here https://t.co/tdx8iQyts9",971777312164368384,,,,2018-03-08 15:59:00,BostonMetroWx,717095249810735104
